Name|Price|Description|Rarity
Spikes iron (10)|1 gp||14
Spyglass|1000 gp||16
Tent two-person|2 gp||14
Tinderbox|5 sp||15
Torch|1 cp||13
Vial|1 gp||16
Waterskin|2 sp||13
Whetstone|1 cp||13
Alchemist's supplies|50 gp||16
Brewer's supplies|20 gp||15
Calligrapher's supplies|10 gp||16
Painter's supplies|10 gp||14
Cartographer's tools|15 gp||15
Cobbler's tools|5 gp||15
Cook's utensils|1 gp||14
Glassblower's tools|30 gp||14
Jeweler's tools|25 gp||14
Leatherworker's tools|5 gp||16
Mason's tools|10 gp||13
Carpenter's tools|8 gp||13
Potter's tools|10 gp||14
Smith's tools|20 gp||16
Tinker's tools|50 gp||13
Weaver's tools|1 gp||16
Navigator's tools|25 gp||16
Woodcarver's tools|1 gp||13
Thieves' tools|25 gp||16
Poisoner's kit|50 gp||16
Herbalism kit|5 gp||14
Disguise kit|25 gp||16
Forgery kit|15 gp||14
Dice set|1 sp||15
Dragonchess set|1 gp||15
Playing card set|5 gp||13
Three-Dragon Ante set|1 gp||15
Bagpipe|30 gp||13
Drum|6 gp||16
Dulcimer|25 gp||16
Flute|2 gp||15
Lute|35 gp||13
Lyre|30 gp||13
Horn|3 gp||13
Pan Flute|12 gp||16
Shawm|2 gp||15
Viol|30 gp||15
Potion of Healing|50 gp|You regain 2d4 + 2 hit points when you drink this potion.  The potion's red liquid glimmers when agitated.|16
Potion of Greater Healing|150 gp|You regain 4d4 + 4 hit points when you drink this potion.  The potion's red liquid glimmers when agitated.|15
Potion of Superior Healing|450 gp |You regain 8d4 + 8 hit points when you drink this potion.  The potion's red liquid glimmers when agitated.|10
Potion of Supreme Healing|1350 gp|You regain 10d4 + 20 hit points when you drink this potion.  The potion's red liquid glimmers when agitated.|7
Elixir of Health|120 gp|When you drink this potion it cures any disease afflicting you and it removes the blinded deafened paralyzed and poisoned conditions.  The clear red liquid has tiny bubbles of light in it.|9
Potion of Poison|100 gp|If you drink it you take 3d6 poison damage and you must succeed on a DC 13 Constitution saving throw or be poisoned. At the start of each of your turns while you are poisoned in this way you take 3d6 poison damage. At the end of each of your turns you can repeat the saving throw. On a successful save the poison damage you take on your subsequent turns decreases by 1d6. The poison ends when the damage decreases to 0. This concoction looks smells and tastes like a potion of healing or other beneficial potion. However it is actually poison masked by illusion magic. An identify spell reveals its true nature.|14
Philter of Love|90 gp|The next time you see a creature within 10 minutes after drinking this philter you become charmed by that creature for 1 hour. If the creature is of a species and gender you are normally attracted to you regard it as your true love while you are charmed. This potion's rose-hued effervescent liquid contains one easy-to-miss bubble shaped like a heart.|13
Potion of Fire Breath|150 gp|fter drinking this potion you can use a bonus action to exhale fire at a target within 30 feet of you. The target must make a DC 13 Dexterity saving throw taking 4d6 fire damage on a failed save or half as much damage on a successful one. The effect ends after you exhale the fire three times or when 1 hour has passed.  This potion's orange liquid flickers and smoke fills the top of the container and wafts out whenever it is opened.|16
Potion of Climbing|180 gp|When you drink this potion you gain a climbing speed equal to your walking speed for 1 hour. During this time you have advantage on Strength (Athletics) checks you make to climb.  The potion is separated into brown silver and gray layers resembling bands of stone. Shaking the bottle fails to mix the colors.|17
Potion of Heroism|180 gp|You gain 10 temporary hit points that last for 1 hour. For the same duration you are under the effect of the bless spell (no concentration required).  This blue potion bubbles and steams as if boiling.|12
Potion of Invisibility|180 gp|When you drink it you become invisible for 1 hour. Anything you wear or carry is invisible with you. The effect ends early if you attack or cast a spell. This potion's container looks empty but feels as though it holds liquid.|7
Potion of Mind Reading|180 gp|When you drink this potion you gain the effect of the detect thoughts spell (save DC 13).  The potion's dense purple liquid has an ovoid cloud of pink floating in it.|11
Potion of Water Breathing|180 gp|You can breathe underwater for 1 hour after drinking this potion.  Its cloudy green fluid smells of the sea and has a jellyfish-like bubble floating in it.|15
Potion of Animal Friendship|200 gp|When you drink this potion you can cast the animal friendship spell (save DC 13) for 1 hour at will.  Agitating this muddy liquid brings little bits into view: a fish scale a hummingbird tongue a cat claw or a squirrel hair.|14
Potion of Diminution|270 gp|"When you drink this potion you gain the ""reduce"" effect of the enlarge/reduce spell for 1d4 hours (no concentration required).  The red in the potion's liquid continuously contracts to a tiny bead and then expands to color the clear liquid around it. Shaking the bottle fails to interrupt this process."|10
Potion of Growth|270 gp|"When you drink this potion you gain the ""enlarge"" effect of the enlarge/reduce spell for 1d4 hours (no concentration required).  The red in the potion's liquid continuously expands from a tiny bead to color the clear liquid around it and then contracts. Shaking the bottle fails to interrupt this process."|14
Potion of Gaseous Form|300 gp|When you drink this potion you gain the effect of the gaseous form spell for 1 hour (no concentration required) or until you end the effect as a bonus action.  This potion's container seems to hold fog that moves and pours like water.|9
Potion of Resistance|300 gp|When you drink this potion you gain resistance to 1 type of damage for 1 hour.(The resistance is pre-determined)|16
Potion of Speed|400 gp|When you drink this potion you gain the effect of the haste spell for 1 minute (no concentration required).  The potion's yellow fluid is streaked with black and swirl on its own.|6
Potion of Flying|500 gp|When you drink this potion you gain a flying speed equal to your walking speed for 1 hour and can hover. If you're in the air when the potion wears off you fall unless you have some other means of staying aloft.  This potion's clear liquid floats at the top of its container and has cloudy white impurities drifting in it.|8
Potion of Clairvoyance|960 gp|When you drink this potion you gain the effect of the clairvoyance spell.  An eyeball bobs in this yellowish liquid but vanishes when the potion is opened.|10
Potion of Vitality|960 gp|When you drink this potion it removes any exhaustion you are suffering and cures any disease or poison affecting you. For the next 24 hours you regain the maximum number of hit points for any Hit Die you spend.  The potion's crimson liquid regularly pulses with dull light calling to mind a heartbeat.|6
Potion of Invulnerability|3840 gp|For 1 minute after you drink this potion you have resistance to all damage.  The potion's syrupy liquid looks like liquefied iron.|7
Oil of Etherealness|1920 gp|Beads of this cloudy gray oil form on the outside of its container and quickly evaporate. The oil can cover a Medium or smaller creature along with the equipment it's wearing and carrying (one additional vial is required for each size category above Medium). Applying the oil takes 10 minutes. The affected creature then gains the effect of the etherealness spell for 1 hour.|12
Oil of Sharpness|3200 gp|This clear gelatinous oil sparkles with tiny ultrathin silver shards. The oil can coat one slashing or piercing weapon or up to 5 pieces of slashing or piercing ammunition. Applying the oil takes 1 minute. For 1 hour the coated item is magical and has a +3 bonus to attack and damage rolls.|8
Oil of Slipperiness|480 gp|This sticky black unguent is thick and heavy in the container but it flows quickly when poured. The oil can cover a Medium or smaller creature along with the equipment it's wearing and carrying (one additional vial is required for each size category above Medium). Applying the oil takes 10 minutes. The affected creature then gains the effect of a freedom of movement spell for 8 hours. Alternatively the oil can be poured on the ground as an action where it covers a 10-foot square duplicating the effect of the grease spell in that area for 8 hours.|15
Potion of Longevity|9000 gp|When you drink this potion your physical age is reduced by 1d6 + 6 years (If you are under 13 years of age this potion has no effect) Each time you subsequently drink a potion of longevity there is 10 percent cumulative chance that you instead age by 1d6 + 6 years.  Suspended in this amber liquid are a scorpion's tail an adder's fang a dead spider and a tiny heart that against all reason is still beating. These ingredients vanish when the potion is opened.|7
Potion of Hill Giant Strength|400 gp|When you drink this potion your Strength score changes to 21 for 1 hour. The potion has no effect on you if your Strength is equal to or greater than that score. This potion's transparent liquid has floating in it a sliver of fingernail from a hill giant.|13
Potion of Frost Giant Strength|750 gp|When you drink this potion your Strength score changes to 23 for 1 hour. The potion has no effect on you if your Strength is equal to or greater than that score. This potion's transparent liquid has floating in it a sliver of fingernail from a frost giant.|12
Potion of Fire Giant Strength|1300 gp|When you drink this potion your Strength score changes to 25 for 1 hour. The potion has no effect on you if your Strength is equal to or greater than that score. This potion's transparent liquid has floating in it a sliver of fingernail from a fire giant.|11
Potion of Cloud Giant Strength|1990 gp|When you drink this potion your Strength score changes to 27 for 1 hour. The potion has no effect on you if your Strength is equal to or greater than that score. This potion's transparent liquid has floating in it a sliver of fingernail from a cloud giant.|7
Potion of Storm Giant Strength|3000 gp|When you drink this potion your Strength score changes to 29 for 1 hour. The potion has no effect on you if your Strength is equal to or greater than that score. This potion's transparent liquid has floating in it a sliver of fingernail from a storm giant.|3
Assassin's blood|150 gp|Combined_Column|11
Truth serum|150 gp|Ingested - A creature subjected to this poison must make a DC 10 Constitution saving throw. On a failed save it takes 6 (1d12) poison damage and is poisoned for 24 hours. On a successful save the creature takes half damage and isnt poisoned.|14
Carrion crawler mucus|200 gp|Contact - A creature subjected to this poison must succeed on a DC 11 Constitution saving throw or become poisoned for 1 hour. The poisoned creature cant knowingly speak a lie as if under the effect of a zone of truth spell.|9
Drow poison|200 gp|Injury - This poison must be harvested from a dead or incapacitated crawler. A creature subjected to this poison must succeed on a DC 13 Constitution saving throw or be poisoned for 1 minute. The poisoned creature is paralyzed. The creature can repeat the saving throw at the end of each of its turns ending the effect on itself on a success.|6
Serpent venom|200 gp|Injury - This poison is typically made only by the drow and only in a place far removed from sunlight. A creature subjected to this poison must succeed on a DC 13 Constitution saving throw or be poisoned for 1 hour. If the saving throw fails by 5 or more the creature is also unconscious while poisoned in this way. The creature wakes up if it takes damage or if another creature takes an action to shake it awake.|14
Malice|250 gp|Inhaled - This poison must be harvested from a dead or incapacitated giant poisonous snake. A creature subjected to this poison must succeed on a DC 11 Constitution saving throw taking 10 (3d6) poison damage on a failed save or half as much damage on a successful one.|11
Pale tincture|250 gp|Ingested - A creature subjected to this poison must succeed on a DC 15 Constitution saving throw or become poisoned for 1 hour. The poisoned creature is blinded.|16
Essence of ether|300 gp|Inhaled - A creature subjected to this poison must succeed on a DC 16 Constitution saving throw or take 3 (1d6) poison damage and become poisoned. The poisoned creature must repeat the saving throw every 24 hours taking 3 (1d6) poison damage on a failed save. Until this poison ends the damage the poison deals cant be healed by any means. After seven successful saving throws the effect ends and the creature can heal normally.|14
Oil of taggit|400 gp|Contact - A creature subjected to this poison must succeed on a DC 15 Constitution saving throw or become poisoned for 8 hours. The poisoned creature is unconscious. The creature wakes up if it takes damage or if another creature takes an action to shake it awake.|11
Burnt othur fumes|500 gp|Inhaled - A creature subjected to this poison must succeed on a DC 13 Constitution saving throw or become poisoned for 24 hours. The poisoned creature is unconscious. The creature wakes up if it takes damage.|7
Torpor|600 gp|Ingested - A creature subjected to this poison must succeed on a DC 13 Constitution saving throw or take 10 (3d6) poison damage and must repeat the saving throw at the start of each of its turns. On each successive failed save the character takes 3 (1d6) poison damage. After three successful saves the poison ends.|10
Wyvern poison|1200 gp|Injury - A creature subjected to this poison must succeed on a DC 15 Constitution saving throw or become poisoned for 4d6 hours. The poisoned creature is incapacitated.|1
Midnight tears|1500 gp|Ingested - This poison must be harvested from a dead or incapacitated wyvern. A creature subjected to this poison must make a DC 15 Constitution saving throw taking 24 (7d6) poison damage on a failed save or half as much damage on a successful one.|7
Purple worm poison|2000 gp|Injury - A creature that ingests this poison suffers no effect until the stroke of midnight. If the poison has not been neutralized before then the creature must succeed on a DC 17 Constitution saving throw taking 31 (9d6) poison damage on a failed save or half as much damage on a successful one.|3
Antitoxin|50 gp|Ingested - This poison must be harvested from a dead or incapacitated purple worm. A creature subjected to this poison must make a DC 19 Constitution saving throw taking 42 (12d6) poison damage on a failed save or half as much damage on a successful one.|17
Basic Poison|100 gp|Contact - A creature that drinks this vial of liquid gains advantage on saving throws against poison for 1 hour. It confers no benefit to Undead or constructs.|17
Oak Plank| 1 sp| Sturdy construction and repair|13
Flint Shard| 5 cp| Essential for fire starting|9
Clear Glass Shard| 1 gp| Potion bottles and lenses|12
Iron Ingot| 10 gp| Forged into weapons and armor|13
Ruby Fragment| 50 gp| Enchants items with fire properties|16
Troll Eye| 25 gp| Alchemical concoctions and curses|1
Bloodgrass Bunch| 2 sp| Used in healing potions|15
Goblin Teeth| 8 sp| Ingredient in hexing rituals|14
Phoenix Feather| 100 gp| Key in resurrection spells|7
Dragon Scale| 50 gp| Imbues items with great strength|8
Silver Nugget| 5 gp| Wards off evil creatures|2
Sapphire Dust| 25 gp| Enhances water-related spells|12
Emerald Shard| 30 gp| For wealth attraction amulets|5
Diamond Chip| 75 gp| Component in high-level enchantments|4
Yew Stick| 1 sp| Wand and staff crafting|15
Granite Chunk| 5 sp| Carved into durable statuary|12
Marble Slab| 10 gp| Sought after by sculptors|5
Obsidian Pebble| 2 gp| For sharp blades and dark rituals|18
Copper Wire| 1 sp| Conducts magical energies|16
Gold Leaf| 10 gp| Decorates magical tomes and artifacts|17
Unicorn Hair| 200 gp| Binds elements of light magic|15
Nightshade Petal| 5 sp| Potent poison or deep sleep spells|7
Mandrake Root| 15 gp| Screams when pulled from the earth|19
Elfweed Leaves| 3 gp| Eases pain and enhances senses|2
Griffon Beak| 35 gp| Potion ingredient for flight|10
Mermaid Scale| 45 gp| Grants water breathing in potions|12
Basilisk Hide| 60 gp| Renders a petrifying gaze in armors|11
Walnut Log| 2 sp| Carves into strong magical staffs|19
Stained Glass Piece| 7 gp| Holds light-based spells|5
Frosted Glass Pane| 5 sp| Channels cold energy|11
Maple Branch| 1 gp| Whittles into musical instruments|10
Gold Ingot| 20 gp| Crafts regal jewelry and crowns|3
Platinum Leaf| 100 gp| For high-value currency and trading|18
Hickory Stick| 2 cp| Carving and simple tool handles|19
Basalt Rock| 1 cp| Rough construction and filling material|18
Bottle Glass| 5 cp| Recycled for cheap glassware|17
Tin Scrap| 3 cp| Used in low-grade metal goods|19
Quartz Pebble| 4 cp| Decorative or minor magical focus|17
Spider Silk| 6 cp| Strong thread for binding and clothing|20
Dandelion Fluff| 1 cp| Alchemical base for floating potions|19
Beeswax| 2 cp| Seals and preserves materials|18
Copper Nugget| 3 cp| Smelted for basic wiring and components|17
Iron Shavings| 4 cp| Filler in metallic mixtures|18
Moss Clump| 1 cp| Ground into paste for healing salves|20
Clay Lump| 2 cp| Molded for pottery and bricks|18
Chalk Piece| 1 cp| Marking and temporary inscriptions|19
Birch Bark| 3 cp| Lightweight writing material|19
Ash Powder| 1 cp| Fertilizer or crude cleaning agent|19
Feather Down| 4 cp| Insulation and padding|18
Limestone Chip| 2 cp| Building material and pH balancer|19
Slate Shard| 3 cp| Roofing and rustic flooring|19
Rough Leather Strip| 5 cp| Binding and basic repairs|19
Cotton Wad| 1 cp| Padding and stuffing|19
Willow Twig| 2 cp| Wickerwork and basketry|20
Jute Fiber| 1 cp| Rough textiles and sackcloth|18
Bamboo Segment| 3 cp| Light construction and water conduits|18
Wheat Straw| 1 cp| Thatching and fodder|17
Rope Length| 5 cp| Binding and hoisting|18
Tar Patch| 2 cp| Waterproofing and sealing|20
Wool Tuft| 3 cp| Spun into warm  sturdy yarn|18
Coarse Sand| 1 cp| Building and abrasive cleaning|20
Oak Gall| 2 cp| Ink making and tanning|18
Pine Resin| 4 cp| Adhesive and varnish|19
Reed Bundle| 3 cp| Matting and thatching|17
Animal Bone| 5 cp| Carved into tools and buttons|20
Flax Bundle| 1 cp| Linen thread and fabric|17
Hemp Twine| 2 cp| Strong  durable cordage|17
Sisal Rope| 3 cp| Marine and agricultural use|19
Fur Pelt| 6 cp| Warm clothing and blankets|19
Alum Chunk| 1 cp| Mordant in dyeing  tanning|18
Peat Brick| 2 cp| Fuel and soil conditioner|18
Iron Ore| 5 cp| Smelting into pure iron|19
Coral Piece| 3 cp| Decoration and minor jewelry|17
Dolomite| 1 cp| Building material and ornamental stone|20
Cedar Plank| 2 cp| Resistant to rot and insects|18
Tallow Lump| 1 cp| Candle making and lubrication|18
Lead Ingot| 5 cp| Weights and radiation shielding|19
Zinc Fragment| 2 cp| Anti-corrosion and alloying|20
Bee Pollen| 1 cp| Food supplement and mild healing|17
Malted Barley| 2 cp| Brewing and distilling|20
Pumice Stone| 1 cp| Abrasive cleaning and polish|19
Sulfur Dust| 3 cp| Fungicide and gunpowder ingredient|18
Saltpeter| 4 cp| Fertilizer and gunpowder component|17
Coal Chunk| 1 cp| Heating and industrial fuel|20
Flintlock| 5 cp| Basic fire-starting tool|19
Obsidian Flake| 2 cp| Sharp cutting tools|19
Rag Cloth| 1 cp| Cleaning and patching material|18
Cork Stopper| 3 cp| Sealing bottles and jars|19
Soybean Pod| 1 cp| Oil and food source|20
Rawhide Piece| 2 cp| Drums and crude containers|19
Pigment Powder| 3 cp| Paint and coloring agent|20
Candle Wick| 1 cp| Candle making essential|18
Soda Ash| 2 cp| Glassmaking and baking soda source|17
Potash| 1 cp| Soap making and fertilizer|20
Graphite Rod| 5 cp| Pencil lead and lubricant|17
Sawdust Pile| 1 cp| Filler and spill absorbent|18
Bone Meal| 2 cp| Fertilizer and feed supplement|19
Brickbat| 1 cp| Construction and makeshift weapon|20
Canvas Scrap| 3 cp| Sails and painting surfaces|20
Vinegar Jug| 2 cp| Preservative and cleaning agent|20
Poplar Board| 1 cp| Light and inexpensive woodwork|17
Charred Wood| 5 cp| Smoky flavoring and filtration|19
Sponge Block| 1 cp| Absorbing and cleaning|19
Iron Nail| 2 cp| Essential in construction and crafts|18
Stone Flake| 3 cp| Sharpening and scraping tools|18
Kelp Frond| 1 cp| Food and agricultural use|19
Chamois Leather| 4 cp| Polishing and cleaning|20
Calcite Crystal| 2 cp| Teaching and decorative use|19
Burlap Sack| 1 cp| Storage and transport|17
Ochre Lump| 3 cp| Pigment for artists and decorators|18
Driftwood Log| 1 cp| Carving and rustic decoration|20
Tin Can| 2 cp| Storage and simple cooking pot|18
Cattail Head| 1 cp| Insulation and tinder|17
Mud Brick| 3 cp| Building in dry climates|19
Straw Bale| 2 cp| Building  bedding  and mulch|18
Acorn Cap| 1 cp| Whistles and small containers|17
Nettle Fiber| 4 cp| Strong thread and cloth|19
Pine Cone| 1 cp| Seed harvesting and kindling|17
Seashell| 2 cp| Decoration and calcium source|18
Gravel Pebble| 1 cp| Used for stable pathways and drainage|2
Hemlock Needles| 2 cp| Fodder for livestock and garden mulch|16
Iron Filings| 1 cp| Components in alchemy and smithing|11
Beech Nut| 1 cp| Edible and used for oil pressing|15
Slate Tile| 3 cp| Durable for roofing and rustic decoration|11
Elderberry| 2 cp| Ingredient in wines and natural dyes|7
Raw Wool| 1 cp| Spun into yarn or used for insulation|6
Birch Sap| 1 cp| Sweetener for drinks and syrup making|10
Cow Horn| 2 cp| Material for tools and blowing horns|9
Elm Leaf| 1 cp| Herbal uses and soothing tea ingredient|15
Rabbit Fur| 2 cp| Soft lining for garments and crafts|19
River Stone| 1 cp| Smooth for landscaping and building|7
Pine Tar| 2 cp| Sealant for ships and traditional medicine|4
Mica Flake| 1 cp| Adds sparkle to paint and is a heat insulator|13
Poppy Seeds| 1 cp| Culinary use and oil extraction|14
Cedar Chips| 2 cp| Natural insect repellent and for smoking food|19
Feldspar Chunk| 1 cp| In ceramics and as an abrasive|6
Walnut Shell| 1 cp| Polishing material and in fillers|2
Flour Sack| 2 cp| Baking and cooking staple|10
Dried Peat| 1 cp| Burns for fuel and used in gardening|2
Tallow Candle| 1 cp| Basic lighting and ritual use|4
Charcoal| 2 cp| For drawing fuel and filtration|2
Bone Button| 1 cp| Fasteners for clothing and decoration|6
Straw Hat| 1 cp| Protection from sun and rain|10
Cotton Thread| 2 cp| Sewing and weaving basic textiles|1
Soap Bar| 1 cp| Cleaning and personal hygiene|16
Clay Pot| 2 cp| Cooking and storage container|15
Wax Seal| 1 cp| Secures letters and adds authenticity|5
Wicker Basket| 1 cp| Carrying goods and storage|11
Dried Herbs| 2 cp| Seasoning and minor medicinal uses|10
Oak Acorn| 1 cp| Planting for future trees and small crafts|7
Woven Mat| 1 cp| Simple floor covering and sitting|14
Dolomite Powder| 2 cp| Soil treatment and manufacturing|4
Knitting Needles| 1 cp| Tool for making garments and textiles|4
Leather Scrap| 2 cp| Repairs and small projects|3
Sulfur Lump| 1 cp| Alchemy and matches production|3
Knotweed Stalk| 1 cp| Basket weaving and crafts|18
Candlewick| 2 cp| Essential for candle making|8
Turpentine| 1 cp| Paint thinner and cleaner|1
Salt Pile| 1 cp| Preserves food and seasoning|9
Brass Hook| 2 cp| For hanging items and as fasteners|6
Dried Beans| 1 cp| Food staple and can be planted|14
Iron Buckle| 2 cp| Used in belts and strapping|17
Glass Bead| 1 cp| Decorative and for crafting jewelry|10
Honeycomb| 1 cp| Sweetener and wax source|20
Tin Foil| 2 cp| Wrapping and preserving food|3
Ceramic Tile| 1 cp| Building material and in mosaics|9
Mortar and Pestle| 1 cp| Grinding herbs and spices|5
Burlap Cloth| 2 cp| Sack making and coarse textiles|9
Yarn Ball| 1 cp| Used in knitting and crafting|12
Straw Broom| 2 cp| Essential for cleaning|9
Paper Sheet| 1 cp| Writing and drawing|6
Cork Bung| 1 cp| Seals for barrels and bottles|13
Leather Thong| 2 cp| Binding and simple repairs|13
Vinegar Bottle| 1 cp| Cooking and cleaning|1
Rock Salt| 2 cp| Ice melting and water softening|11
Pitch Glue| 1 cp| Waterproof adhesive and sealant|2
Canvas Roll| 1 cp| Sails and painting canvases|18
Tales of Eldoria| 2 sp| Anthology of epic stories about heroes and monsters|6
Arcane Grimoire| 5 gp| Magical manual for apprentice sorcerers|18
The Chronicles of Valeria| 3 sp| History of a kingdom at war|8
Legends of the Lost City| 1 gp| Tales of adventures in a lost city|11
The Alchemist's Handbook| 4 gp| Guide to creating potions and elixirs|16
The Art of Enchantment| 3 gp| Techniques for enchanting magical items|14
Beastiary of Mythical Creatures| 5 sp| Catalog of legendary creatures|9
Wizards and Warlocks| 4 gp| Biographies of famous wizards and warlocks|5
The Ranger's Guide| 2 sp| Advice for survival in the wilderness|11
The Bard's Songbook| 1 gp| Collection of songs and poems|20
Tomes of Ancient Spells| 4 gp| Texts containing forgotten spells|18
Knight's Code| 3 gp| Laws and ethics of knights|2
Mysteries of the Abyss| 5 sp| Exploration of the deep sea abyss|11
The Rogue's Handbook| 2 gp| Tricks and tactics for thieves|3
Legends of the Elven Realms| 3 gp| Stories of elves and enchanted realms|7
The Herbalist's Guide| 2 gp| Knowledge about medicinal herbs|18
Tales of the Underdark| 4 gp| Adventures in the underground world|16
The Paladin's Oath| 3 gp| Vows and principles of paladins|7
