Name|Description
outlands-envoy-ua|Source: Unearthed Arcana 85 - Wonders of the MultiversePrerequisite: 4th Level,Scion of the Outer PlanesFeatYou have spent significant time in Sigil or elsewhere in the Outlands, the crossroads of the multiverse. Being steeped in converging planar energies grants you these benefits:Ability Score Increase.Increase an ability score of your choice by 1, to a maximum of 20.Crossroads Emissary.You learn theMisty StepandTonguesspells. You can cast each spell once using this feat without a spell slot, and you must finish a long rest before you can cast that spell in this way again. When you cast tongues using this feat, you require no material components. You can also cast these spells using spell slots you have of the appropriate level. The spell’s spellcasting ability is the one chosen when you gained the Scion of the Outer Planes feat.
outsized-might-ua|Source: Unearthed Arcana 83 - Giant OptionsYou have absorbed primeval magic that allows you, despite your relatively small stature, to embody the might of titanic creatures. This grants you the following benefits:Little but Mighty.You gain proficiency in either the Athletics or Acrobatics skill.Powerful Build.You count as one size larger when determining your carrying capacity and the amount you can push, drag, or lift.Stalwart.You have advantage on saving throws against being moved or knocked prone.
perceptive|Source: Unearthed Arcana 38 - Feats for SkillsYou hone your senses until they become razor sharp. You gain the following benefits:Increase your Wisdom score by 1, to a maximum of 20.You gain proficiency in the Perception skill. If you are already proficient in the skill, you add double your proficiency bonus to checks you make with it.Being in a lightly obscured area doesn't impose disadvantage on your Wisdom (Perception) checks if you can both see and hear.
performer|Source: Unearthed Arcana 38 - Feats for SkillsYou master performance so that you can command any stage. You gain the following benefits:Increase your Charisma score by 1, to a maximum of 20.You gain proficiency in the Performance skill. If you are already proficient in the skill, you add double your proficiency bonus to checks you make with it.While performing, you can try to distract one humanoid you can see who can see and hear you. Make a Charisma (Performance) check contested by the humanoid's Wisdom (Insight) check. If your check succeeds, you grab the humanoid's attention enough that it makes Wisdom (Perception) and Intelligence (Investigation) checks with disadvantage until you stop performing.
planar-wanderer-ua|Source: Unearthed Arcana 85 - Wonders of the MultiversePrerequisite: 4th Level,Scion of the Outer PlanesFeatYou can draw on the forces of the multiverse to survive cosmic extremes and to traverse its infinite realms. You gain these benefits:Planar Adaptation.When you finish a long rest, you gain resistance to either acid, cold, or fire damage (your choice) until you finish your next long rest.Portal Cracker.Your experience with portals allows you to operate them without the proper portal key. As an action, you can concentrate on a portal you’re aware of that is within 5 feet of you and make a DC 20 Wisdom (Survival) check. On a failure, you take 3d8 force damage and you can’t use this feature on that portal again until you finish a long rest. On a success, you can force the portal open or closed for 1 hour. For that duration, a portal closed in this way doesn’t respond to its portal key unless a creature employing the key succeeds on a DC 20 Intelligence (Arcana) check as an action.Portal Sense.You know the direction to the last planar portal you used while you and the portal are on the same plane. Moreover, as an action, you can detect the location of any portals within 30 feet of you that aren’t behind total cover. Once you detect a portal with this action, you can’t use the action again until you finish a long rest.
practiced-expert|Source: Unearthed Arcana 73 - FeatsYou have honed your proficiency with particular skills or tools, gaining the following benefits:Increase one ability score of your choice by 1, to a maximum of 20.You gain proficiency with one skill or tool of your choice.Choose one of your skill or tool proficiencies. Your proficiency bonus is doubled for any ability check you make that uses the chosen proficiency.
quick-fingered|Source: Unearthed Arcana 38 - Feats for SkillsYour nimble fingers and agility let you perform sleight of hand. You gain the following benefits:Increase your Dexterity score by 1, to a maximum of 20.You gain proficiency in the Sleight of Hand skill. If you are already proficient in the skill, you add double your proficiency bonus to checks you make with it.As a bonus action, you can make a Dexterity (Sleight of Hand) check to plant something on someone else, conceal an object on a creature, lift a purse, or take something from a pocket.
righteous-heritor-ua|Source: Unearthed Arcana 85 - Wonders of the MultiversePrerequisite: 4th Level,Scion of the Outer Planes(Good Outer Plane) FeatYou can channel the cosmic forces of good that foster serenity and fellowship. You are still free to choose your own actions, but gain these benefits:Ability Score Increase.Increase an ability score of your choice by 1, to a maximum of 20.Soothe Pain.When you or a creature you can see within 30 feet of you takes damage, you can use your reaction to dull its suffering and reduce the damage it takes by 1d10 + your proficiency bonus. You can use this benefit a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.
rune-carver-adept-ua|Source: Unearthed Arcana 83 - Giant OptionsPrerequisite: 4th Level, Rune Carver Apprentice FeatYour skill with the art of runecraft has increased.Whenever you finish a long rest, you can now mark a number of objects equal to your proficiency bonus with a rune from the Rune Carver Apprentice feat. An object can have only one rune at a time, and you must inscribe a different rune on each object.
rune-carver-adept-revised-ua|Source: Unearthed Arcana 85 - Wonders of the MultiversePrerequisite: 4th Level,Rune Carver ApprenticeFeatYour ability to draw out power from runes has grown.Increase the ability score of the spellcasting ability chosen when you gained the Rune Carver Apprentice feat by 1, to a maximum of 20.Whenever you cast a spell from the Rune Spells table, or a spell of a school of magic associated with the spell you marked on an object from your Rune Carver Apprentice feat, you can invoke runic power, granting you one of these benefits of your choice:Battle Runes.Choose one creature you can see within 30 feet of yourself. Until the end of that creature’s next turn, it has advantage on the next attack roll it makes.Healing Runes.Choose one creature you can see within 30 feet of yourself. That creature gains temporary hit points equal to your level.Runic Winds.Choose one creature you can see within 30 feet of yourself. Until the end of that creature’s turn, its movement doesn’t provoke opportunity attacks, and its walking speed increases by 10 feet.You can invoke runic power a number of times equal to your proficiency bonus, but no more than once per spell you cast. You regain all expended uses when you finish a long rest.
rune-carver-apprentice-ua|Source: Unearthed Arcana 83 - Giant OptionsYou’ve begun studying the art of runecraft, which allows you to temporarily mark your items and imbue them with magic.Whenever you finish a long rest, you can mark one nonmagical weapon, armor, piece of clothing, or other object you can touch with a rune of your choice. You temporarily learn one 1st-level spell based on the rune you choose, as specified in the Rune Spells table, and you know the spell until you finish a long rest, when the rune fades.Rune SpellsRuneSpellBloodFalse LifeCloudFog CloudDeathRay of SicknessDragonChromatic OrbEnemyBaneFireBurning HandsFriendBlessFrostArmor of AgathysHillGoodberryJourneyLongstriderKingCommandLightGuiding BoltLifeCure WoundsMountainJumpShieldShieldStoneSanctuaryStormThunderwaveWarHeroismWindFeather FallWhile you are wearing or carrying the rune-marked object, you can cast the chosen spell associated with the rune once without using a spell slot or material components, and you can also cast the spell using any spell slots you have.Your spellcasting ability for this feat is Intelligence, Wisdom, or Charisma (choose when you gain this feat).
rune-carver-apprentice-revised-ua|Source: Unearthed Arcana 85 - Wonders of the MultiverseYou’ve begun studying the art of runecraft.You learn theComprehend Languagesspell. You can cast this spell without expending a spell slot, and you must finish a long rest before you can cast it in this way again. You can also cast this spell using any spell slots you have.You know two runes of your choice from the Rune Spells table. Whenever you finish a long rest, you can mark one nonmagical weapon, armor, piece of clothing, or other object you touch with a rune you know. You temporarily learn one 1st-level spell based on the rune you inscribed, as specified in the Rune Spells table, and you know the spell until you finish a long rest, when the rune fades.Rune SpellsRuneSpellDeathRay of SicknessDragonChromatic OrbEnemyDisguise SelfFriendSpeak with AnimalsJourneyLongstriderKingCommandMountainEntangleSacredSanctuaryWhile you are wearing or carrying the rune-marked object, you can cast the spell associated with the chosen rune once without using a spell slot or material components, and you can also cast the spell using any spell slots you have.Your spellcasting ability for this feat is Intelligence, Wisdom, or Charisma (choose when you select this feat).Each time you gain a level, you can replace one of the runes you know with a different one from the Rune Spells table.
scion-of-elemental-air-ua|Source: Unearthed Arcana 85 - Wonders of the MultiverseYou’ve been exposed to the primordial magic of the Elemental Plane of Air, granting you the followingbenefits:Elemental Magic.You learn theMinor Illusioncantrip, using Intelligence, Wisdom, or Charisma as the spellcasting ability (choose when you select this feat).Wind’s Glide.You can use a bonus action to gain a flying speed equal to your walking speed until the end of your turn. If you are airborne at the end of your turn after using this movement and aren’t held aloft by other means, you fall. You can use this bonus action a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.
scion-of-elemental-earth-ua|Source: Unearthed Arcana 85 - Wonders of the MultiverseYou’ve been exposed to the primordial magic of the Elemental Plane of Earth, granting you the following benefits:Elemental Magic.You learn theDruidcraftcantrip, using Intelligence, Wisdom, or Charisma as the spellcasting ability (choose when you select this feat).Earthen Shield.You can use a bonus action to conjure a bulwark of earth that provides half cover to you or a creature of your choice within 30 feet of yourself. The bulwark remains until the start of your next turn. You can create this bulwark a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.
scion-of-elemental-fire-ua|Source: Unearthed Arcana 85 - Wonders of the MultiverseYou’ve been exposed to the primordial magic of the Elemental Plane of Fire, granting you the following benefits:Elemental Magic.You learn theDancing Lightscantrip, using Intelligence, Wisdom, or Charisma as the spellcasting ability (choose when you select this feat).Fervent Blaze.You learn theProduce Flamecantrip, using the same spellcasting ability chosen for this feat’s Elemental Magic benefit. You can cast produce flame as normal, and you can also cast it as a bonus action a number of times equal to your proficiency bonus, regaining all expended uses when you finish a long rest.
scion-of-elemental-water-ua|Source: Unearthed Arcana 85 - Wonders of the MultiverseYou’ve been exposed to the primordial magic of theElemental Plane of Water, granting you the followingbenefits:Elemental Magic.You learn theThaumaturgycantrip, using Intelligence, Wisdom, or Charisma as the spellcasting ability (choose when you select this feat).Wave Surge.You can use a bonus action to create a forceful surge of water directed at a creature within 15 feet of you that you can see. The target must make a Strength saving throw; the DC for this save is equal to 8 + your proficiency bonus + the spellcasting ability modifier chosen for this feat, and a creature can choose to fail this saving throw. On a failure, the target is pushed up to 10 feet away from you or pulled up to 10 feet toward you (your choice). The water vanishes immediately after the creature succeeds or fails. You can create this effect a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.
shield-training|Source: Unearthed Arcana 73 - FeatsYou’ve trained in the effective use of shields. You gain the following benefits:Increase your Strength, Dexterity, or Constitution score by 1, to a maximum of 20.You gain proficiency with shields.In combat, you can don or doff a shield as the free object interaction on your turn.If you have the Spellcasting or Pact Magic feature, you can use a shield as a spellcasting focus.
silver-tongued|Source: Unearthed Arcana 38 - Feats for SkillsYou develop your conversational skill to better deceive others. You gain the following benefits.Increase your Charisma score by 1, to a maximum of 20.You gain proficiency in the Deception skill. If you are already proficient in the skill, you add double your proficiency bonus to checks you make with it.When you take the Attack action on your turn, you can replace one attack with an attempt to deceive one humanoid you can see within 30 feet of you that can see and hear you. Make a Charisma (Deception) check contested by the target's Wisdom (Insight) check. If your check succeeds, your movement doesn't provoke opportunity attacks from the target and your attack rolls against it have advantage; both benefits last until the end of your next turn or until you use this ability on a different target. If your check fails, the target can't be deceived by you in this way for 1 hour.
spear-mastery|Source: Unearthed Arcana 15 - FeatsThough the spear is a simple weapon to learn, it rewards you for the time you have taken to master it. You gain the following benefits:• You gain a +1 bonus to attack rolls you make with a spear.• When you use a spear, its damage die changes from a d6 to a d8, and from a d8 to a d10 when wielded with two hands. (This benefit has no effect if another feature has already improved the weapon’s die.)• You can set your spear to receive a charge. As a bonus action, choose a creature you can see that is at least 20 feet away from you. If that creatures moves within your spear’s reach on its next turn, you can make a melee attack against it with your spear as a reaction. If the attack hits, the target takes an extra 1d8 piercing damage, or an extra 1d10 piercing damage if you wield the spear with two hands. You can’t use this ability if the creature used the Disengage action before moving.• As a bonus action on your turn, you can increase your reach with a spear by 5 feet for the rest of your turn.
squire-of-solamnia-ua|Source: Unearthed Arcana 81 - Heroes of KrynnPrerequisite: Squireship in the Knights of SolamniaYour training in the ways of the Knights of Solamnia grants you these benefits:Martial Training.You gain proficiency with medium armor and martial weapons.Defensive Rider.You have advantage on saving throws made to avoid falling off a mount.Encouraging Rally.When another creature you can see within 30 feet of you makes a saving throw, you can use your reaction to inspire them. If the target can hear you and understand you, it gains advantage on the saving throw. Once you use this reaction, you can’t do so again until you finish a long rest.
soul-of-the-storm-giant-ua|Source: Unearthed Arcana 83 - Giant OptionsPrerequisite: 8th LevelYou’ve manifested divination abilities and tempest magic emblematic of storm giants, granting you the following benefits:Maelstrom Aura.As a bonus action, you surround yourself in an aura of magical wind and lightning that extends 10 feet from you in every direction but not through total cover. The aura lasts for 1 minute or until you are incapacitated. While the aura is active, attack rolls against you have disadvantage, and whenever a creature starts its turn within the sphere, you can force the creature’s speed to be halved until the start of its next turn. Once you use this bonus action, you can’t do so again until you finish a long rest.Storm’s Oracle.You can cast theDivinationspell as a ritual, without needing material components. Intelligence, Wisdom, or Charisma is your spellcasting ability for this feature (choose when you gain this feat). Once you cast the spell in this way, you can’t do so again until you finish a long rest.
soul-of-the-storm-giant-revised-ua|Source: Unearthed Arcana 85 - Wonders of the MultiversePrerequisite: 4th Level,Strike of the Giants(Storm Giant) FeatYou’ve manifested divination abilities and tempest magic emblematic of storm giants, granting you the following benefits:Ability Score Increase.Increase your Intelligence, Wisdom, or Charisma score by 1, to a maximum of 20.Maelstrom Aura.As a bonus action, you surround yourself in an aura of magical wind and lightning that extends 10 feet from you in every direction but not through total cover. The aura lasts until the start of your next turn or until you are incapacitated. While the aura is active, attack rolls against you have disadvantage, and whenever a creature starts its turn within the aura, you can force the creature to make a Strength saving throw (DC equals 8 + your proficiency bonus + the ability modifier of the score increased by this feat). On a failed save, the creature’s speed is halved until the start of its next turn. You can use this bonus action a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.
stealthy|Source: Unearthed Arcana 38 - Feats for SkillsYou know how best to hide. You gain the following benefits:Increase your Dexterity score by 1, to a maximum of 20.You gain proficiency in the Stealth skill. If you are already proficient in the skill, you add double your proficiency bonus to checks you make with it.If you are hidden, you can move up to 10 feet in the open without revealing yourself if you end the move in a position where you're not clearly visible.
strike-of-the-giants-ua|Source: Unearthed Arcana 85 - Wonders of the MultiverseYou have absorbed primeval magic that gives you an echo of the might of giants. Choose one of the kinds of giants listed below. As a bonus action, you can call on the power of your giant magic to imbue your attacks with additional power. The next time you hit a target with a melee or thrown weapon attack within the next minute, the attack has an additional effect depending on the origin of your giant magic:Hill Giant.The target takes an extra 1d6 damage of the weapon’s type. If the target is a creature, it must succeed on a Strength saving throw or be knocked prone.Stone Giant.The target takes an extra 1d6 force damage. If the target is a creature, it must succeed on a Strength saving throw or be pushed 10 feet away from you in a straight line.Frost Giant.The target takes an extra 1d6 cold damage. If the target is a creature, it must succeed on a Constitution saving throw, or its speed is reduced to 0 until the start of your next turn.Fire Giant.The target takes an extra 1d8 fire damage.Cloud Giant.The target takes an extra 1d4 thunder damage. If the target is a creature, it must succeed on a Wisdom saving throw, or you become invisible to it until the start of your next turn.Storm Giant.The target takes an extra 1d6 lightning damage. If the target is a creature, it must succeed on a Constitution saving throw, or it has disadvantage on attack rolls until the start of your next turn.The saving throw DC for these effects equals 8 + your proficiency bonus + your Strength or Constitution modifier.You can use this bonus action a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.
survivalist|Source: Unearthed Arcana 38 - Feats for SkillsYou master wilderness lore, gaining the following benefits:Increase your Wisdom score by 1, to a maximum of 20.You gain proficiency in the Survival skill. If you are already proficient in the skill, you add double your proficiency bonus to checks you make with it.You learn theAlarmspell. You can cast it once without expending a spell slot, and you regain the ability to do so when you finish a long rest.
tandem-tactician|Source: Unearthed Arcana 73 - FeatsYour presence in a scrap tends to elevate your comrades. You gain the following benefits:You can use the Help action as a bonus action.When you use the Help action to aid an ally in attacking a creature, increase the range of the Help action by 10 feet. Additionally, you can help two allies targeting the same creature within range when you use the Help action this way.
theologian|Source: Unearthed Arcana 38 - Feats for SkillsYour extensive study of religion rewards you with the following benefits.Increase your Intelligence score by 1, to a maximum of 20.You gain proficiency in the Religion skill. If you are already proficient in the skill, you add double your proficiency bonus to checks you make with it.You learn theThaumaturgyandDetect Evil and Goodspells. You can cast Detect Evil and Good once without expending a spell slot, and you regain the ability to do so when you finish a long rest.
tower-of-iron-will|Source: Unearthed Arcana 71 - Psionic Options RevisitedPrerequisite: Psionic Talent feature orWild TalentfeatYour mind’s defenses are formidable. After you or another creature you can see within 30 feet of you fails a saving throw, you can use your reaction to roll your Psionic Talent die and add the number rolled to the saving throw, potentially causing it to succeed.
tracker|Source: Unearthed Arcana 73 - FeatsYou have spent time hunting creatures and honed your skills, gaining the following benefits:Increase your Wisdom score by 1, to a maximum of 20.You learn theHunter’s Markspell. You can cast it once without expending a spell slot, and you must finish a long rest before you can cast it in this way again. You can also cast the spell using any spell slots you have. Wisdom is your spellcasting ability for this spell.You have advantage on Wisdom (Survival) checks to track creatures.
vigor-of-the-hill-giant-ua|Source: Unearthed Arcana 83 - Giant OptionsPrerequisite: 4th LevelYou’ve manifested the resilience emblematic of hill giants, granting you the following benefits:Bulwark.When you are subjected to an effect that would move you at least 5 feet or knock you prone, you can use your reaction to steady yourself. You are then neither moved nor knocked prone.Hearty Health.When you are subjected to a spell that restores your hit points, you can regain additional hit points equal to your Constitution modifier. You can regain these additional hit points a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.
vigor-of-the-hill-giant-revised-ua|Source: Unearthed Arcana 85 - Wonders of the MultiversePrerequisite: 4th Level,Strike of the Giants(Hill Giant) FeatYou’ve manifested the resilience emblematic of hill giants, granting you the following benefits:Ability Score Increase.Increase your Constitution score by 1, to a maximum of 20.Bulwark.When you are subjected to an effect that would move you at least 5 feet or knock you prone, you can use your reaction to steady yourself. You are then neither moved nor knocked prone.
wild-talent|Source: Unearthed Arcana 71 - Psionic Options RevisitedYou awaken to your psionic potential, which enhances your mind or body. Increase one ability score of your choice by 1, to a maximum of 20, to represent this enhancement.You also harbor a wellspring of psionic power within yourself, an energy that ebbs and flows as you channel it in various ways. This power is represented by your Psionic Talent die, the starting size of which is a d6.You can use your Psionic Talent die in the following ways:Psi-Boosted Ability.When you make an ability check with the ability increased by this feat, you can roll your Psionic Talent die and add the number rolled to the check. You can choose to do so before or after rolling the d20, but before you know whether the check succeeded or failed.Psi-Guided Strike.Once on each of your turns when you hit with an attack roll that uses the ability increased by this feat, you can roll your Psionic Talent die after you make the damage roll and then replace one of the damage dice with the number rolled on the Psionic Talent die.Changing the Die’s Size.If you roll the highest number on your Psionic Talent die, it decreases by one die size after the roll. This represents you burning through your psionic energy. For example, if the die is a d6 and you roll a 6, it becomes a d4. If it’s a d4 and you roll a 4, it becomes unusable until you finish a long rest.Conversely, if you roll a 1 on your Psionic Talent die, it increases by one die size after the roll, up to its starting size. This represents you conserving psionic energy for later use. For example, if you roll a 1 on a d4, the die then becomes a d6.Whenever you finish a long rest, your Psionic Talent die resets to its starting size. When you reach certain levels, the starting size of your Psionic Talent die increases: at 5th level (d8), 11th level (d10), and 17th level (d12).If you have a Psionic Talent die from another source, such as a class feature, you don’t get more than one die; use only the one with the largest starting size.Psi Replenishment.As a bonus action, you can calm your mind for a moment and restore your Psionic Talent die to its starting size. You then can’t use Psi Replenishment again until you finish a long rest.
servo-crafting|Source: Plane Shift - KaladeshPrerequisite: Intelligence 13 or higherYou are skilled in the creation of servos—tiny constructs that function as personal assistants. You can cast theFind Familiarspell as a ritual, creating a servo to serve as your familiar instead of an animal. It uses the Servo stat block, but in every other way, a servo familiar functions as described in the find familiar spell.You can communicate telepathically with your servo familiar and perceive through its senses as long as you are on the same plane of existence. You can speak through your servo in your own voice.Additionally, when you take the Attack action, you can forgo one of your own attacks to allow your servo familiar to make one attack of its own.ServoTiny construct, unalignedArmor Class:11 (natural armor)Hit Points:10 (3d4 + 3)Speed:20 ft.STRDEXCONINTWISCHA4 (-3)11 (+0)12 (+1)3 (-4)10 (+0)7 (-2)Damage Immunities:poisonCondition Immunities:charmed, poisonedSenses:passive Perception 10Languages:—Challenge:0 (10 XP)ActionsClaw.Melee Weapon Attack:+0 to hit, reach 5 ft., one target.Hit:1 slashing damage.
quicksmithing|Source: Plane Shift - KaladeshPrerequisite: Intelligence 13 or higherYou have mastered the art of on-the-fly invention, improvement, and jury-rigging. You can use your talents to create immediate, short-term magical effects similar to spells, given time and an adequate supply of aether.When you choose this feat, you master two magical effects, each of which recreates the effect of a 1st-level spell that has the ritual tag. These spells can come from any class list, but Intelligence is your spellcasting ability for them.If you come across a schematic geared toward quicksmithing or study with another quicksmith, you might be able to add another spell to the effects you have mastered. The spell’s level can be no higher than half your level (rounded up), and it must have the ritual tag. The process of mastering the spell takes 2 hours per level of the spell, and costs 50 gp per level. The cost represents aether you use as you experiment with the spell effect to master it.In addition, you have proficiency with artisan’s tools (quicksmith’s tools). Using those tools, you can spend 1 hour and 10 gp worth of materials to construct a Tiny clockwork device (AC 5, 1 hp). The device ceases to function after 24 hours unless you spend 1 hour repairing it to keep it functioning. You can use your action to dismantle the device, at which point you can reclaim the materials used to create it. You can have up to three such devices active at a time.When you create a device, choose one of the following options:Clockwork Toy.This toy is a clockwork animal, monster, or person, such as a frog, mouse, bird, dragon, or soldier. When placed on the ground, the toy moves 5 feet across the ground on each of your turns in a random direction. It makes noises as appropriate to the creature it represents.Fire Starter.This device produces a miniature flame, which you can use to light a candle, torch, or campfire. Using the device requires your action.Music Box.When opened, this music box plays a single song at a moderate volume. The box stops playing when it reaches the song’s end or when it is closed.
cruel|Source: Tal'Dorei Campaign Setting RebornThe challenges and struggles you've faced throughout your life have led you to delight in inflicting pain and anguish upon others. You gain a number of cruelty dice equal to your proficiency bonus. Your cruelty dice are d6s. You can roll only one cruelty die per turn, and a cruelty die is spent when you roll it.You can roll a cruelty die under any of the following circumstances, with the indicated result:When you deal damage to a creature, spend one cruelty die to deal extra damage to the creature equal to the roll.When you score a critical hit, spend one cruelty die to gain temporary hit points equal to the roll.When you make a Charisma (Intimidation) check, spend one cruelty die and add the roll to your check.You regain all spent cruelty dice when you finish a long rest.
flash-recall|Source: Tal'Dorei Campaign Setting RebornPrerequisite: Spellcasting feature from a class that prepares spellsYou've developed the ability to instantly recall an unprepared spell in moments of sudden necessity.As a bonus action, you prepare a spell of 1st level or higher from your spellbook (if you're a wizard) or from your class spell list (if you're not a wizard). This spell must be of a level for which you have spell slots, and it replaces another spell of an equal or higher level that you had previously prepared.Once you use this feat to recall a spell, you can't do so again until you complete a short or long rest.
